TICKER,CUSIP,CNAME,OFTIC,ACTDATS,ESTIMID,ANALYST,ERECCD,ETEXT,IRECCD,ITEXT,EMASKCD,AMASKCD,USFIRM,ACTTIMS,REVDATS,REVTIMS,ANNDATS,ANNTIMS
MSFT,59491810,MICROSOFT,MSFT,4/22/2021,EXANE,SLOWINSKI     S,2,OUTPERFORM,2,BUY,829,80726,1,8:40:36,8/3/2021,7:04:37,4/22/2021,4:02:00
MSFT,59491810,MICROSOFT,MSFT,4/23/2021,WOLFE,ZUKIN         A,1,OUTPERFORM,1,STRONG BUY,19516,159235,1,6:04:44,2/8/2023,0:29:42,4/22/2021,22:05:00
MSFT,59491810,MICROSOFT,MSFT,4/30/2021,BAPTISTA,MAJUMDAR      I,2,OUTPERFORM,2,BUY,41712,194536,1,10:48:11,4/30/2021,10:48:11,4/30/2021,8:39:00
MSFT,59491810,MICROSOFT,MSFT,5/13/2021,ARETE,SHEPHERD      A,6,BUY,2,BUY,5238,77869,1,6:33:57,3/16/2023,5:04:09,5/13/2021,4:51:00
MSFT,59491810,MICROSOFT,MSFT,5/13/2021,ROSSEC,MCPEAKE       J,1,BUY,2,BUY,41383,56285,1,6:27:46,1/25/2023,9:58:07,5/12/2021,16:25:00
MSFT,59491810,MICROSOFT,MSFT,6/1/2021,CHINAFA,CHEN          F,,OUTPERFORM,1,STRONG BUY,4975,195982,1,21:33:27,11/17/2021,12:07:33,6/1/2021,3:20:00
MSFT,59491810,MICROSOFT,MSFT,8/6/2021,BAPTISTA,MAJUMDAR      I,1,BUY,1,STRONG BUY,41712,194536,1,14:04:11,8/6/2021,14:04:11,8/6/2021,12:31:00
MSFT,59491810,MICROSOFT,MSFT,8/21/2021,EXANE,SLOWINSKI     S,2,OUTPERFORM,2,BUY,829,80726,1,3:01:56,4/1/2022,7:22:44,8/20/2021,4:02:00
MSFT,59491810,MICROSOFT,MSFT,9/5/2021,HEROES,KURAPOV       A,2,HOLD,3,HOLD,41692,196448,1,20:49:04,10/25/2021,5:23:35,9/3/2021,12:39:00
MSFT,59491810,MICROSOFT,MSFT,9/16/2021,FINRUS,LAPSHINA      K,1,BUY,2,BUY,17126,196530,1,13:04:48,9/16/2021,13:04:48,9/10/2021,8:06:00
MSFT,59491810,MICROSOFT,MSFT,9/20/2021,TIGRESS,FEINSETH      I,2,BUY,2,BUY,41346,168478,1,7:43:40,2/6/2023,9:58:54,9/17/2021,16:06:00
MSFT,59491810,MICROSOFT,MSFT,9/30/2021,ACCOUNT,GUPTA         H,1,BUY,2,BUY,6921,191800,1,16:50:33,1/27/2023,14:10:30,9/30/2021,5:54:00
MSFT,59491810,MICROSOFT,MSFT,10/27/2021,CFRANOWM,FREEMAN       J,1,STRONG BUY,1,STRONG BUY,41769,196145,1,0:44:34,1/25/2023,13:34:23,10/27/2021,0:19:00
MSFT,59491810,MICROSOFT,MSFT,11/2/2021,LAWRENCE,ZELNICK       B,2,BUY,2,BUY,1382,120469,1,0:18:50,3/16/2023,19:07:06,11/1/2021,16:27:00
MSFT,59491810,MICROSOFT,MSFT,11/22/2021,WHEAT,TURRIN        M,1,OVERWEIGHT,2,BUY,2446,182828,1,9:10:21,4/27/2022,0:14:47,11/22/2021,4:50:00
MSFT,59491810,MICROSOFT,MSFT,12/13/2021,PHILIPFS,ANG           T,1,BUY,1,STRONG BUY,4539,196344,1,7:52:51,5/3/2022,23:09:40,12/12/2021,18:36:00
MSFT,59491810,MICROSOFT,MSFT,12/16/2021,DAEWOO,KIM           S,,BUY,1,STRONG BUY,650,195858,1,21:53:23,1/29/2023,23:26:36,12/15/2021,21:45:00
MSFT,59491810,MICROSOFT,MSFT,12/21/2021,SMBCNSAM,KOENIG        S,1,OUTPERFORM,2,BUY,41663,122142,1,19:56:53,2/8/2023,5:55:30,12/21/2021,16:11:00
MSFT,59491810,MICROSOFT,MSFT,12/27/2021,BAPTISTA,MAJUMDAR      I,2,OUTPERFORM,2,BUY,41712,194536,1,5:26:53,2/12/2022,4:16:49,12/27/2021,4:16:00
MSFT,59491810,MICROSOFT,MSFT,1/7/2022,INDUS,HONG          J,2,OUTPERFORM,2,BUY,38822,195541,1,2:08:04,5/3/2022,12:55:07,1/6/2022,6:17:00
MSFT,59491810,MICROSOFT,MSFT,1/25/2022,SUMRES,NANDURY       S,1,BUY,2,BUY,41285,160889,1,20:24:33,1/25/2022,20:24:33,1/25/2022,20:19:00
MSFT,59491810,MICROSOFT,MSFT,1/26/2022,SINARA,VAKHRAMEEV    S,2,NEUTRAL,3,HOLD,41792,133685,1,10:31:45,1/26/2022,10:31:45,1/26/2022,3:52:00
MSFT,59491810,MICROSOFT,MSFT,1/30/2022,PUNTA,ORTIZ         K,2,BUY,2,BUY,41768,196993,1,23:20:55,5/9/2022,18:50:17,1/27/2022,12:00:00
MSFT,59491810,MICROSOFT,MSFT,2/1/2022,KIWOOM,RESEARCH DEPA,1,BUY,1,STRONG BUY,19321,125696,1,3:50:55,2/1/2022,3:50:55,1/29/2022,0:22:00
MSFT,59491810,MICROSOFT,MSFT,4/3/2022,CICC,TAO           Y,1,OUTPERFORM,2,BUY,5864,197082,1,21:29:39,1/29/2023,18:52:34,4/3/2022,20:06:00
MSFT,59491810,MICROSOFT,MSFT,4/4/2022,EXANE,SLOWINSKI     S,2,OUTPERFORM,2,BUY,829,80726,1,5:52:48,2/22/2023,5:20:00,4/4/2022,4:00:00
MSFT,59491810,MICROSOFT,MSFT,4/21/2022,SOOCHOW,ZHANG         L,1,STRONG BUY,1,STRONG BUY,41493,187563,1,8:59:19,10/27/2022,10:36:03,4/15/2022,4:34:00
MSFT,59491810,MICROSOFT,MSFT,4/26/2022,ELAZAR,SIEGEL        C,2,BUY,2,BUY,41413,182826,1,23:08:57,4/26/2022,23:08:57,4/26/2022,19:23:00
MSFT,59491810,MICROSOFT,MSFT,6/5/2022,ELAZAR,SIEGEL        C,3,NEUTRAL,3,HOLD,41413,182826,1,19:54:44,1/26/2023,17:30:09,6/5/2022,18:16:00
MSFT,59491810,MICROSOFT,MSFT,6/15/2022,WHEAT,TURRIN        M,1,OVERWEIGHT,2,BUY,2446,182828,1,5:00:00,3/16/2023,15:29:09,6/15/2022,5:00:00
MSFT,59491810,MICROSOFT,MSFT,7/7/2022,REDBURN,HAISSL        A,1,BUY,2,BUY,6706,119049,1,11:04:29,1/27/2023,12:57:08,7/7/2022,5:15:00
MSFT,59491810,MICROSOFT,MSFT,7/27/2022,ITAU,RESEARCH DEPA,1,OUTPERFORM,2,BUY,2946,136878,1,20:17:26,2/8/2023,0:38:14,7/26/2022,13:41:00
MSFT,59491810,MICROSOFT,MSFT,8/6/2022,BAPTISTA,MAJUMDAR      I,1,BUY,1,STRONG BUY,41712,194536,1,14:32:44,8/6/2022,14:32:44,8/6/2022,10:22:00
